SCHOOLDIST,BORO,INITIALS,CREAT_DATE,EDIT_DATE,ZONED_DIST,BORO_NUM,Shape_Leng,Shape_Area,REMARKS,DBN,ESID_NO,Label
21,BK,BG,08/06/2001,,21,3,13911.283046500000637,10480088.343100000172853,,21K188,117,188
21,BK,BG,08/12/2011,,21,3,11668.376953299999514,3870862.126149999909103,,21K288,118,288
21,BK,BG,08/12/2011,,21,3,18376.435682800001814,6543570.566060000099242,,21K329,120,329
21,BK,BG,08/12/2011,,21,3,6782.790944010000203,1833886.205210000043735,,21K288,121,288
21,BK,BG,08/12/2011,,21,3,2034.92139973999997,212939.871257999999216,,21K329,122,329
21,BK,BG,08/06/2001,4/9/12,21,3,3973.183603250000033,689362.679578999988735,Option to attend several elementary schools in District 21. Contact 718-935-2003 for more information.,,128,Option
22,BK,BG,07/31/2001,4/5/04,22,3,17340.417109499998332,13432772.600400000810623,,22K195,1,195
22,BK,BG,07/31/2001,,22,3,13293.762409799999659,8291388.456480000168085,,22K254,2,254
22,BK,BG,07/31/2001,,22,3,14817.998094900000069,8505349.393890000879765,,22K255,7,255
21,BK,BG,08/06/2001,,21,3,14150.444181099999696,9579792.809019999578595,,21K100,124,100
21,BK,BG,08/06/2001,,21,3,11939.27272400000038,6988907.68766999989748,,21K253,125,253
21,BK,BG,08/06/2001,,21,3,14369.027574699999604,8756277.65591000020504,,21K225,126,225
21,BK,BG,08/06/2001,,21,3,12794.294331900000543,8408923.077290000393987,,21K216,133,216
21,BK,BG,08/06/2001,,21,3,13202.218756899999789,9982935.430980000644922,,21K209,134,209
15,BK,BG,08/06/2001,,15,3,10580.278803200000766,4993794.176740000024438,,15K094,94,94
15,BK,BG,08/06/2001,,15,3,13099.588417999999365,8003233.586600000038743,,15K131,97,131
15,BK,BG,08/06/2001,,15,3,15632.015742300000056,8015004.896180000156164,,15K058,112,58
16,BK,BG,08/01/2001,,16,3,8630.12894229000085,3755559.127580000087619,,16K308,75,308
15,BK,BG,08/06/2001,,15,3,46299.267932399998244,15826326.815400000661612,,15K015,100,15
15,BK,BG,08/06/2001,,15,3,17817.780020999998669,8239504.358439999632537,,15K676,102,676
15,BK,BG,08/06/2001,,15,3,12248.435632999999143,4597222.438280000351369,,15K295,106,295
15,BK,BG,08/06/2001,,15,3,13756.749669900000299,5968713.470259999856353,,15K010,107,10
15,BK,BG,08/06/2001,,15,3,14949.54068449999977,8651595.481109999120235,,15K124,111,124
19,BK,JO,08/07/2001,4/9/12,19,3,6099.093167940000058,2051358.682180000003427,Option to attend several elementary schools in District 19. Contact 718-935-2003 for more information.,,183,
15,BK,BG,08/06/2001,,15,3,17534.345640799998364,8577851.231780000030994,,15K029,113,29
15,BK,BG,08/06/2001,,15,3,12804.623835099999269,7246291.821659999899566,,15K032,115,32
15,BK,BG,08/06/2001,,15,3,19931.318324600000778,8769958.858009999617934,,15K261,116,261
20,BK,BG,08/12/2011,8/10/06,20,3,4478.063085910000154,659355.832935999962501,"PS 247 is located in District 20, with a portion of the zone located in District 21.",20K247,131,247
20,BK,,,,20,3,14929.859115999999631,9778635.725509999319911,Dyker Beach Golf Course,,208,
20,BK,BG,08/07/2001,,20,3,12294.807088899999144,6053773.364599999971688,,20K229,210,229
20,BK,BG,08/07/2001,,20,3,12317.028433600000426,6576429.374019999988377,,20K163,211,163
20,BK,BG,08/07/2001,,20,3,19361.810886800001754,13297650.040400000289083,,20K127,215,127
20,BK,BG,08/07/2001,,20,3,15875.990794299999834,11887693.630100000649691,,20K204,216,204
20,BK,BG,,,20,3,21631.055924000000232,21860510.730900000780821,,20K104,773,104
20,BK,BG,08/07/2001,,20,3,13146.095956900000601,7011020.113939999602735,,20K186,218,186
20,BK,BG,08/12/2011,,20,3,14054.546470499999486,4315029.48304000031203,,20K247,219,247
20,BK,BG,08/07/2001,,20,3,15288.812930399999459,7394241.796679999679327,,20K205,220,205
20,BK,BG,08/07/2001,,20,3,13454.485115100000257,6969508.329850000329316,,20K048,221,48
20,BK,BG,08/07/2001,,20,3,11807.697286299999178,6109457.591190000064671,,20K112,222,112
20,BK,BG,08/12/2011,,20,3,12443.685940199999095,7362393.015929999761283,,20K160,227,160
20,BK,BG,08/07/2001,06/15/10,20,3,18034.360389900000882,13169701.39159999974072,,20K180,228,180
20,BK,BG,08/07/2001,,20,3,10474.096235999999408,5973673.775190000422299,,20K164,229,164
13,BK,BG,08/07/2001,,13,3,4404.750409250000303,687148.643889000057243,,13K307,249,307
20,BK,BG,08/07/2001,06/15/10,20,3,13677.460882199999105,7613357.41363999992609,,20K105,226,105
20,BK,JO,08/12/2011,5/08/2012,20,3,26410.381585800001631,9456957.990819999948144,,20K506,225,506
20,BK,BG,08/07/2001,,20,3,16930.659092699999746,11499564.071100000292063,,20K176,223,176
20,BK,BG,08/07/2001,,20,3,16945.084030499998335,13191024.664000000804663,,20K102,214,102
20,BK,BG,08/07/2001,,20,3,16666.681866599999921,9867339.847209999337792,,20K170,224,170
20,BK,JB,08/07/2001,06/15/10,20,3,13464.145045699999173,4416802.301040000282228,,20K069,766,69
15,BK,BG,08/06/2001,,15,3,32391.317208000000392,10379061.700699999928474,,15K172,101,172
20,BK,JO,08/12/2011,12/09/12,20,3,8053.683199469999636,3791473.768740000203252,"In 2013-14, Grades K-3 are zoned to PS 264; Grades 4-5 are zoned to PS 185 or PS 104.","20K264,20K185,20K104",774,"264 (K-3), 185 (4-5), 104 (4-5)"
20,BK,JO,08/12/2011,05/11/12,21,3,2072.190495759999976,186551.588046999997459,"Zoned to PS 128, located in District 21.",21K128,795,128
15,BK,BG,08/06/2001,,15,3,27481.359831099998701,10334378.808399999514222,,15K001,93,1
15,BK,BG,08/06/2001,,15,3,12729.994531300000745,8410902.63952000066638,,15K169,98,169
15,BK,,,,15,3,18657.517444599998271,20958531.590799998492002,Greenwood Cemetery,,99,
15,BK,AMG,04/22/05,,15,3,25789.66469109999889,12798958.60050000064075,,15K024,767,24
21,BK,BG,08/06/2001,,21,3,10882.676627900000312,6910618.8748700004071,,21K097,136,97
21,BK,AMG,07/18/06,,21,3,12385.712170299999343,4892519.275670000351965,,21K128,771,128
