DBN,DISTRICT,SCHOOL,SCHOOL LEVEL*,2010-2011 OVERALL SCORE,PRINCIPAL,2010-2011 OVERALL GRADE,2010-2011 PROGRESS CATEGORY SCORE,PROGRESS REPORT TYPE,2010-2011 PROGRESS GRADE,2010-2011 PERFORMANCE CATEGORY SCORE,PEER INDEX*,2010-2011 PERFORMANCE GRADE,2010-2011 ENVIRONMENT CATEGORY SCORE,2010-2011 ENVIRONMENT GRADE,2010-2011 ADDITIONAL CREDIT,2009-10 PROGRESS REPORT GRADE
14K031,14,P.S. 031 Samuel F. Dupont,Elementary,91.5,Mary J. Scarlato,A ,51.8,EMS,A ,22.4,40.44,A ,12.3,A ,5,A
14K257,14,P.S. 257 John F. Hylan,Elementary,91.4,Brian Leavy-Devale,A ,52.8,EMS,A ,14.3,64.82,A ,13.3,A ,11,A
27Q254,27,P.S. 254,Elementary,90.3,Naomi Drouillard,A ,50.4,EMS,A ,20.1,52.73,A ,12.3,A ,7.5,A
17K189,17,P.S. 189 Lincoln Terrace,K-8,89.4,Ms. Berthe G. Faustin,A ,53.1,EMS,A ,14.4,57.77,A ,9.9,A ,12,B
17K375,17,P.S. 375 Jackie-Robinson School,Elementary,89.2,Ms. Marion Wilson,A ,55.6,EMS,A ,13.3,61.15,B ,9.8,A ,10.5,B
15K172,15,P.S. 172 Beacon School of Excellence,Elementary,88.3,Jack Spatola,A ,44.4,EMS,A ,23.5,61.9,A ,14.4,A ,6,A
01M184,1,P.S. 184m Shuang Wen,K-8,86.8,Ling Ling Chou,A ,50.6,EMS,A ,20.9,28.13,A ,9.8,A ,5.5,A
27Q066,27,P.S. 066 Jacqueline Kennedy Onassis,Elementary,86.6,Phyllis Leinwand,A ,49.4,EMS,A ,18.6,52.67,A ,10.6,A ,8,A
02M002,2,P.S. 002 Meyer London,Elementary,83.8,Brett Gustafson,A ,54.6,EMS,A ,13.3,41.72,B ,8.9,A ,7,A
26Q046,26,P.S. 046 Alley Pond,Elementary,83.7,Marsha Goldberg,A ,46.9,EMS,A ,17.4,25.16,A ,11.8,A ,7.5,A
25Q219,25,P.S. 219 Paul Klapper,K-8,83.4,Frederick Wright,A ,48.5,EMS,A ,13.9,44.3,B ,6.5,B ,14.5,A
14K380,14,P.S. 380 John Wayne Elementary,Elementary,83.3,Diane Vitolo,A ,42.3,EMS,A ,19.9,58.9,A ,14.5,A ,6.5,A
31R008,31,P.S. 8 Shirlee Solomon,Elementary,82.1,Lisa Esposito,A ,48.5,EMS,A ,15.6,22.81,A ,11,A ,7,A
27Q060,27,P.S. 060 Woodhaven,Elementary,82.1,Frank Desario,A ,49.8,EMS,A ,17,51.21,A ,4.7,C ,10.5,A
16K040,16,P.S. 040 George W. Carver,Elementary,80.3,Leonie Hibbert,A ,56.4,EMS,A ,9,58.57,C ,7.9,B ,7,A
26Q041,26,P.S. 041 Crocheron,Elementary,80.1,Sari Latto,A ,45.6,EMS,A ,18.7,15.31,A ,12.8,A ,3,A
09X199,9,P.S. 199X - The Shakespeare School,Elementary,79.5,Lilia Navarrete,A ,51.7,EMS,A ,12.7,67.52,B ,6.6,B ,8.5,A
75K372,75,P.S. 372 -The Children's School,Elementary,79.2,Arthur Mattia,A ,37.4,D75,A ,23.3,,A ,14,A ,4.5,A
02M042,2,P.S. 042 Benjamin Altman,Elementary,79.2,Rosa Casiello O'Day,A ,49.6,EMS,A ,14.9,35.81,A ,10.1,A ,4.5,A
02M077,2,P.S. 77 Lower Lab School,Elementary,79.2,Mara Ratesic Koetke,A ,50.2,EMS,A ,18.8,9.89,A ,9.2,A ,1,A
26Q188,26,P.S. 188 Kingsbury,Elementary,79.1,Janet Caraisco,A ,48.3,EMS,A ,19.7,10.61,A ,9.6,A ,1.5,A
26Q133,26,P.S. 133 Queens,Elementary,79.1,Shelley Steppel,A ,44.6,EMS,A ,15.1,28.83,A ,9.9,A ,9.5,A
25Q029,25,P.S. 029 Queens,Elementary,78.2,Jennifer Jones,A ,47.8,EMS,A ,14.1,41.88,A ,7.8,B ,8.5,B
25Q024,25,P.S. 024 Andrew Jackson,Elementary,78,Lori Golan,A ,45.6,EMS,A ,13.3,32.74,B ,10.6,A ,8.5,A
04M083,4,P.S. 083 Luis Munoz Rivera,Elementary,77.8,Frances Castillo,A ,44.8,EMS,A ,18,55.24,A ,11,A ,4,A
24Q229,24,P.S. 229 Emanuel Kaplan,Elementary,77.7,Dr. Sibylle Ajwani,A ,44.7,EMS,A ,12.3,33.76,B ,9.7,A ,11,A
26Q205,26,P.S. 205 Alexander Graham Bell,Elementary,77.7,Karen Scott-Piazza,A ,49.2,EMS,A ,18.4,20.11,A ,9.1,A ,1,A
11X041,11,P.S. 041 Gun Hill Road,Elementary,77.6,Erika Tobia,A ,46.9,EMS,A ,10.9,61.49,B ,8.3,B ,11.5,A
04M108,4,P.S. 108 Assemblyman Angelo Del Toro Educational C,K-8,77.2,Lourdes Arroyo,A ,44.3,EMS,A ,13.5,61.75,B ,9.8,A ,9.5,B
75Q256,75,P.S. Q256,Middle,77,Oswaldo Roman,A ,48.5,D75,A ,13.3,,B ,10.7,A ,4.5,A
21K188,21,P.S. 188 Michael E. Berdy,Elementary,76.7,Frederick M. Tudda,A ,48.2,EMS,A ,8.5,55.32,C ,9.5,A ,10.5,C
32K116,32,P.S. 116 Elizabeth L Farrell,Elementary,76.7,Seiw Kong,A ,49.2,EMS,A ,10.7,65.47,B ,7.8,B ,9,A
20K247,20,P.S. 247 Brooklyn,Elementary,75.8,Christopher E. Ogno,A ,47.9,EMS,A ,16.3,31.03,A ,6,B ,5.5,A
75K053,75,P.S. K053,Middle,75.3,Heather Leykam,A ,41.3,D75,A ,14.7,,B ,14.8,A ,4.5,B
26Q191,26,P.S. 191 Mayflower,Elementary,74.6,Michael Ranieri,A ,43.3,EMS,A ,16.1,19.28,A ,13.2,A ,2,A
06M048,6,P.S. 048 P.O. Michael J. Buczek,Elementary,74,Tracy Walsh,A ,44.4,EMS,A ,10.6,66.13,B ,9.5,A ,9.5,B
30Q011,30,P.S. 011 Kathryn Phelan,Elementary,73.6,Anna Efkarpides,A ,44.1,EMS,A ,11.6,43.07,B ,10.4,A ,7.5,B
08X069,8,P.S. 069 The New Vision School,Elementary,73.6,Sheila Durant,A ,41.4,EMS,A ,14.5,61.49,A ,9.2,A ,8.5,A
02M290,2,P.S. 290 Manhattan New School,Elementary,73.6,Sharon Hill,A ,42.1,EMS,A ,14.9,12.01,A ,11.5,A ,5,A
28Q196,28,P.S. 196 Grand Central Parkway,Elementary,73.5,Susan Migliano,A ,43.2,EMS,A ,18.1,12.86,A ,10.2,A ,2,A
22K254,22,P.S. 254 Dag Hammarskjold,Elementary,73.4,Linda Alhonote,A ,45.4,EMS,A ,15.6,29.08,A ,7.9,B ,4.5,A
21K253,21,P.S. 253,Elementary,72.5,Lisa Speroni,A ,40.8,EMS,A ,10.6,46.73,B ,13.6,A ,7.5,A
22K134,22,P.S. K134,Elementary,72.5,Debra Ramsaran,A ,40.9,EMS,A ,16.4,52.01,A ,9.2,A ,6,A
20K164,20,P.S. 164 Caesar Rodney,Elementary,72.2,Margaret Choy-Shan,A ,38.5,EMS,A ,12.8,53.11,B ,12.8,A ,8,A
10X051,10,P.S. 051 Bronx New School,Elementary,72,Paul Smith,A ,47.8,EMS,A ,9.7,56.43,C ,10.5,A ,4,B
25Q079,25,P.S. 079 Francis Lewis,Elementary,71.7,Paula Marron,A ,49.3,EMS,A ,10.4,21.71,B ,4.5,C ,7.5,C
11X153,11,P.S. 153 Helen Keller,Elementary,71.6,Veronica Goka,A ,43.2,EMS,A ,12.8,47.32,B ,7.6,B ,8,B
03M165,3,P.S. 165 Robert E. Simon,K-8,71.6,Brett Gallini,A ,46,EMS,A ,8.4,57.58,C ,10.2,A ,7,B
20K112,20,P.S. 112 Lefferts Park,Elementary,71.1,Louise Verdemare (Alfano),A ,43.4,EMS,A ,11.3,33.25,B ,9.9,A ,6.5,B
16K026,16,P.S. 026 Jesse Owens,Elementary,70.8,Michele Ashley,A ,46.2,EMS,A ,11.4,59.52,B ,6.7,B ,6.5,C
30Q122,30,P.S. 122 Mamie Fay,K-8,70.6,Pamela Sabel,A ,44.5,EMS,A ,15.9,29.42,A ,6.7,B ,3.5,A
13K046,13,P.S. 046 Edward C. Blum,Elementary,70.3,Karyn Nicholson,A ,48.4,EMS,A ,8.8,63.34,C ,3.6,D ,9.5,A
26Q173,26,P.S. 173 Fresh Meadows,Elementary,70.3,Molly Wang,A ,39,EMS,A ,16.3,20.82,A ,8.5,A ,6.5,A
20K176,20,P.S. 176 Ovington,Elementary,70.1,Elizabeth Culkin,A ,41.4,EMS,A ,13.3,31.38,B ,9.4,A ,6,A
11X097,11,P.S. 097 Bronx,Elementary,70.1,Katheleen Bornkamp,A ,46.4,EMS,A ,9.6,49.19,C ,5.1,C ,9,B
14K034,14,P.S. 034 Oliver H. Perry,Elementary,70,Alicja Winnicki,A ,39.8,EMS,A ,16.2,29.81,A ,11,A ,3,B
27Q183,27,P.S. 183 Dr. Richard R. Green,K-8,69.9,Renee Peart,A ,43.4,EMS,A ,7.7,58.74,C ,10.8,A ,8,B
